corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tulil	all1	0001	#	#	#nc	#nc				
tulil	all1	0001	ngang	1SG	nc	nc				
tulil	all1	0001	o	TOP	nc	nc				
tulil	all1	0001	nga	1SG.POSS	nc	nc				
tulil	all1	0001	itən	name	nc	nc				
tulil	all1	0001	=e	=SG.CL:FEM	nc	nc				
tulil	all1	0001	Augustine	Augustine	nc	nc				
tulil	all1	0001	Rickie	Rickie	nc	nc				
tulil	all1	0002	#	#	#nc	#nc				
tulil	all1	0002	me	and	nc	nc				
tulil	all1	0002	do	here;now	nc	nc				
tulil	all1	0002	nga-nəngar	1SG.NPST-say	nc	nc				
tulil	all1	0002	be	at	nc	nc				
tulil	all1	0002	a-pir	ART-story	nc	nc				
tulil	all1	0002	to	REL	nc	nc				
tulil	all1	0002	ngə-mat	1SG.PST-get	nc	nc				
tulil	all1	0002	idə	3N	nc	nc				
tulil	all1	0002	bətm	with	nc	nc				
tulil	all1	0002	=a	=PAT	nc	nc				
tulil	all1	0002	nga	1SG.POSS	nc	nc				
tulil	all1	0002	iaia	grandpa	nc	nc				
tulil	all1	0003	#	#	#nc	#nc				
tulil	all1	0003	nga	1SG.POSS	nc	nc				
tulil	all1	0003	iaia	grandpa	nc_np.h	nc_np	h		1004	bridging
tulil	all1	0003	və-m~ume	3SG.M.PST-RED~tell	nc	nc				
tulil	all1	0003	ngang	1SG	nc	nc				
tulil	all1	0003	at-e	3SG.M-QUOT	nc	nc				
tulil	all1	0003	#	#	##	##				
tulil	all1	0003	ar	still	other	other				
tulil	all1	0003	bəvon	before	other	other				
tulil	all1	0003	kup	far	other	other				
tulil	all1	0003	nə-mə	LOC-DOWN	dem_other	dem_other				
tulil	all1	0003	ba	in	adp	adp				
tulil	all1	0003	ibən	earth	np:dt	np		dt	1001	new
tulil	all1	0003	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0003	dova	at_the_place_of	adp	adp				
tulil	all1	0003	Butəm	Butəm	pn_np:dt	pn_np		dt	1001	
tulil	all1	0003	o	TOP	other	other				
tulil	all1	0003	tor	wood	np:s	np		s	1002	new
tulil	all1	0003	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0003	b=	ASP=	=other	=other				
tulil	all1	0003	i-mətor	3SG.F.PST-sit	v:pred	v		pred		
tulil	all1	0003	#	#	##	##				
tulil	all1	0003	0	0	0.h:s	0	h	s	1002	
tulil	all1	0003	b=	ASP=	=other	=other				
tulil	all1	0003	i-mətor	3SG.F.PST-sit	v:pred	v		pred		
tulil	all1	0003	kia	first	other	other				
tulil	all1	0003	#	#	##	##				
tulil	all1	0003	0	0	0.h:s	0	h	s	1003	bridging
tulil	all1	0003	me	and	other	other				
tulil	all1	0003	doto	when;if	other	other				
tulil	all1	0003	vəti	day	np:dt	np		dt		
tulil	all1	0003	təgə	one	rn	rn				
tulil	all1	0003	=von	=SG.CL:DIM	=rn	=rn				
tulil	all1	0003	o	TOP	other	other				
tulil	all1	0003	v=	3SG.M.POSS=	=ln_pro.h:poss	=ln_pro	h	poss	1004	
tulil	all1	0003	ativon	brother	np:dt_s	np		dt_s	1003	
tulil	all1	0003	o	TOP	other	other				
tulil	all1	0003	və-ppi	3SG.M.PST-RED~walk;go	v:pred	v		pred		
tulil	all1	0003	tə=	to=	=adp	=adp				
tulil	all1	0003	ga	across	adp	adp				
tulil	all1	0003	gup	hunt	np:obl	np		obl	1005	new
tulil	all1	0003	to-Kankan	ART.M-Kankan	pn_np.h:dt	pn_np	h	dt	1003	
tulil	all1	0004	#	#	##	##				
tulil	all1	0004	0	0	0.h:s	0	h	s	1003	
tulil	all1	0004	və-p~pi	3SG.M.PST-RED~walk;go	v:pred	v		pred		
tulil	all1	0004	tə=	to=	=adp	=adp				
tulil	all1	0004	ga	across	adp	adp				
tulil	all1	0004	gup	hunt	np:obl	np		obl	1005	
tulil	all1	0004	#	#	##	##				
tulil	all1	0004	io	then	other	other				
tulil	all1	0004	kəvənau	rain	np:a	np		a	1006	new
tulil	all1	0004	laik	big	rn	rn				
tulil	all1	0004	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0004	i-tər	3SG.F.PST-meet	v:pred	v		pred		
tulil	all1	0004	=a	=3SG.M.PAT	=pro.h:p	=pro	h	p	1003	
tulil	all1	0004	nə-bo	LOC-UP	dem_other	dem_other				
tulil	all1	0004	ba	in	adp	adp				
tulil	all1	0004	tipur	forest	np:l	np		l	1007	new
tulil	all1	0004	io	then	other	other				
tulil	all1	0004	#	#	#ac	#ac				
tulil	all1	0004	0	0	0.h:s	0	h	s	1003	
tulil	all1	0004	to	SUB	other	other				
tulil	all1	0004	və-teltel	3SG.M.PST-wander	v:pred	v		pred		
tulil	all1	0004	a-n	3SG.M-with	adp	adp				
tulil	all1	0004	=a	=PAT	=ln	=ln				
tulil	all1	0004	kəvop	dog	np:obl	np		obl	1008	new
tulil	all1	0005	#	#	##	##				
tulil	all1	0005	#	#	#	#				
tulil	all1	0005	0	0	0.h:s	0	h	s	1003	
tulil	all1	0005	io	then	other	other				
tulil	all1	0005	mata	until	other	other				
tulil	all1	0005	da	PURP	other	other				
tulil	all1	0005	bə=	ASP=	=other	=other				
tulil	all1	0005	və-liu	3SG.M.PST-return	v:pred	v		pred		
tulil	all1	0005	o	TOP	other	other				
tulil	all1	0005	nə-mumə	LOC-DOWN.FAR	dem_other	dem_other				
tulil	all1	0005	da	PURP	adp	adp				
tulil	all1	0005	Voi	3SG.FLAT	pn_np:l	pn_np		l	1009	new
tulil	all1	0005	bəli	pig	rn	rn				
tulil	all1	0005	ioi	water	np:appos	np		appos	1009	
tulil	all1	0005	laik	big	rn	rn				
tulil	all1	0005	=poi	=SG.CL:FLAT	=rn	=rn				
tulil	all1	0005	#	#	#rc	#rc				
tulil	all1	0005	to	REL	other	other				
tulil	all1	0005	voi	SG.FLAT	ln_np:poss	ln_np		poss		
tulil	all1	0005	idə	3N	ln_pro:poss	ln_pro		poss		
tulil	all1	0005	itən	name	np:s	np		s	1010	bridging
tulil	all1	0005	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0005	Voi	Voi	pn_np:pred	pn_np		pred		
tulil	all1	0005	bəli	pig	rn	rn				
tulil	all1	0005	%	%	%	%				
tulil	all1	0005	%	%	%	%				
tulil	all1	0005	o	TOP	other	other				
tulil	all1	0005	0	0	0.h:a	0	h	a	1003	
tulil	all1	0005	və-tər	3SG.M.PST-meet	v:pred	v		pred		
tulil	all1	0005	=a	=PAT	=ln	=ln				
tulil	all1	0005	ioi	water	np:p	np		p	1009	
tulil	all1	0005	=voi	=SG.CL:FLAT	=rn	=rn				
tulil	all1	0005	#	#	#rc	#rc				
tulil	all1	0005	to	REL	other	other				
tulil	all1	0005	bə=	ASP=	=other	=other				
tulil	all1	0005	iləm	flood	np:pred	np		pred		
tulil	all1	0005	=a	=SG.CL:MASC	=rn	=rn				
tulil	all1	0006	#	#	##	##				
tulil	all1	0006	#	#	#ac	#ac				
tulil	all1	0006	doto	when;if	other	other				
tulil	all1	0006	bə=	ASP=	=other	=other				
tulil	all1	0006	iləm	flood	np:pred	np		pred		
tulil	all1	0006	=a	=SG.CL:MASC	=rn	=rn				
tulil	all1	0006	da	PURP	adp	adp				
tulil	all1	0006	ioi	water	np:l	np		l	1009	
tulil	all1	0006	=voi	=SG.CL:FLAT	=rn	=rn				
tulil	all1	0006	%	%	%	%				
tulil	all1	0006	o	TOP	other	other				
tulil	all1	0006	0	0	0.h:a	0	h	a	1003	
tulil	all1	0006	və-kəbənət	3SG.M.PST-make	v:pred	v		pred		
tulil	all1	0006	=a	=PAT	=ln	=ln				
tulil	all1	0006	tarn	umbrella	np:p	np		p	1011	new
tulil	all1	0006	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0006	#	#	#	#				
tulil	all1	0006	0	0	0.h:s	0	h	s	1003	
tulil	all1	0006	da	PURP	other	other				
tulil	all1	0006	və-matər	3SG.M.PST-stand	v:pred	v		pred		
tulil	all1	0006	ba	in	adp	adp				
tulil	all1	0006	a-bəbət	ART-bank	ln_np:poss	ln_np		poss		
tulil	all1	0006	idə=	3N.POSS=	ln_pro:poss	ln_pro		poss	1009	
tulil	all1	0006	kən	neck	np:l	np		l	1012	bridging
tulil	all1	0006	mən=	from=	=adp	=adp				
tulil	all1	0006	be	at	adp	adp				
tulil	all1	0006	vəret	side	np:appos	np		appos	1013	bridging
tulil	all1	0006	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0006	e-mu	3SG.F-IN	rn	rn				
tulil	all1	0007	#	#	##	##				
tulil	all1	0007	me	and	other	other				
tulil	all1	0007	voi	SG.FLAT	pro:dt_a	pro		dt_a	1009	
tulil	all1	0007	o	TOP	other	other				
tulil	all1	0007	bə=	ASP=	=other	=other				
tulil	all1	0007	voi	SG.FLAT	pro:a	pro		a	1009	
tulil	all1	0007	idə-re	3N.PST-carry	v:pred	v		pred		
tulil	all1	0007	nangə	tree.PL	np:p	np		p	1014	new
tulil	all1	0008	#	#	##	##				
tulil	all1	0008	0	0	0:a	0		a	1015	bridging
tulil	all1	0008	idə-bok	3N.PST-break	v:pred	v		pred		
tulil	all1	0008	=a	=PAT	=ln	=ln				
tulil	all1	0008	nangə	tree	np:p	np		p	1014	
tulil	all1	0008	#	#	##	##				
tulil	all1	0008	voi	SG.FLAT	cl_pro:a	cl_pro		a	1009	
tulil	all1	0008	idə-povər	3N.PST-dig	v:pred	v		pred		
tulil	all1	0008	mən	off	rv	rv				
tulil	all1	0008	=a	=PAT	=ln	=ln				
tulil	all1	0008	nangə	tree	np:p	np		p	1014	
tulil	all1	0008	#	#	##	##				
tulil	all1	0008	io	then	other	other				
tulil	all1	0008	voi	SG.FLAT	cl_pro:a	cl_pro		a	1009	
tulil	all1	0008	idə-re	3N.PST-carry	v:pred	v		pred		
tulil	all1	0008	idə	3N	pro:p	pro		p	1014	
tulil	all1	0008	nə-mə	LOC-DOWN	dem_other	dem_other				
tulil	all1	0008	ba	in	adp	adp				
tulil	all1	0008	ioi	water	np:l	np		l	1009	
tulil	all1	0008	=voi	=SG.CL:FLAT	=rn	=rn				
tulil	all1	0008	#	#	#	#				
tulil	all1	0008	0	0	0:s	0		s	1009	
tulil	all1	0008	da	PURP	other	other				
tulil	all1	0008	nə-m~mə	LOC-RED~DOWN	dem_other:pred_l	dem_other		pred_l		
tulil	all1	0008	tə=	to=	=other	=other				
tulil	all1	0008	be	at	adp	adp				
tulil	all1	0008	viuv	sea	np:g	np		g	1016	new
tulil	all1	0008	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0009	#	#	##	##				
tulil	all1	0009	#	#	#ac	#ac				
tulil	all1	0009	doto	when;if	other	other				
tulil	all1	0009	voi	SG.FLAT	cl_pro:a	cl_pro		a	1009	
tulil	all1	0009	idə-re	3N.PST-carry	v:pred	v		pred		
tulil	all1	0009	nangə	tree	np:p	np		p	1014	
tulil	all1	0009	navonbət	like.that	other	other				
tulil	all1	0009	%	%	%	%				
tulil	all1	0009	io	then	other	other				
tulil	all1	0009	iap	3SG.M	pro.h:dt_s	pro	h	dt_s	1003	
tulil	all1	0009	o	TOP	other	other				
tulil	all1	0009	0	0	0.h:s	0	h	s	1003	
tulil	all1	0009	və-məto~mətor	3SG.M.PST-RED~sit	v:pred	v		pred		
tulil	all1	0009	konəng	only	other	other				
tulil	all1	0009	#	#	##	##				
tulil	all1	0009	0	0	0.h:a	0	h	a	1003	
tulil	all1	0009	me	and	other	other				
tulil	all1	0009	və-t~ton	3SG.M.PST-RED~look	v:pred	v		pred		
tulil	all1	0009	be	at	rv	rv				
tulil	all1	0009	=boi	=SG.FLAT	=pro:p	=pro		p	1009	
tulil	all1	0009	#	#	#	#				
tulil	all1	0009	da	PURP	other	other				
tulil	all1	0009	məle	rest	v:pred	v		pred		
tulil	all1	0009	bətəpm	all.over	rv	rv				
tulil	all1	0009	=a	=PAT	=ln	=ln				
tulil	all1	0009	iləm	flood	np:s_sv	np		s_sv	1015	
tulil	all1	0009	=a	=SG.CL:MASC	=rn	=rn				
tulil	all1	0009	#	#	##	##				
tulil	all1	0009	0	0	0.h:s	0	h	s	1003	
tulil	all1	0009	io	then	other	other				
tulil	all1	0009	iap	3SG.M	pro.h:dt_s	pro	h	dt_s	1003	
tulil	all1	0009	o	TOP	other	other				
tulil	all1	0009	a-təvək	3SG.M.NPST-cross	v:pred	v		pred		
tulil	all1	0009	təkə=	to=	=other	=other				
tulil	all1	0009	nə-mə	LOC-DOWN	dem_other	dem_other				
tulil	all1	0009	ba	in	adp	adp				
tulil	all1	0009	məngəd	home;village	np:g	np		g	1017	bridging
tulil	all1	0009	=a	=SG.CL:MASC	=rn	=rn				
tulil	all1	0010	#	#	##	##				
tulil	all1	0010	#	#	#ac	#ac				
tulil	all1	0010	0	0	0.h:s	0	h	s	1003	
tulil	all1	0010	doto	when;if	other	other				
tulil	all1	0010	və-m~atər	3SG.M.PST-RED~stand	v:pred	v		pred		
tulil	all1	0010	nanbət	like.that	other	other				
tulil	all1	0010	%	%	%	%				
tulil	all1	0010	io	then	other	other				
tulil	all1	0010	0	0	0.h:a	0	h	a	1003	
tulil	all1	0010	və-ton	3SG.M.PST-look	v:pred	v		pred		
tulil	all1	0010	mat	get	rv	rv				
tulil	all1	0010	=a	=PAT	=ln	=ln				
tulil	all1	0010	tor	wood	np:p	np		p	1018	new
tulil	all1	0010	laik	big	rn	rn				
tulil	all1	0010	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0010	kabar	long	np:appos	np		appos	1018	
tulil	all1	0010	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0010	mə=	from=	=adp	=adp				
tulil	all1	0010	nə-bo	LOC-UP	dem_other:l	dem_other		l		
tulil	all1	0010	#	#	#	#				
tulil	all1	0010	to	SUB	other	other				
tulil	all1	0010	ioi	water	np:a	np		a	1009	
tulil	all1	0010	=voi	=SG.FLAT	=rn	=rn				
tulil	all1	0010	idə-r~re	3N.PST-RED~carry	v:pred	v		pred		
tulil	all1	0010	=e	=3SG.F.PAT	=pro:p	=pro		p	1018	
tulil	all1	0011	#	#	##neg	##neg				
tulil	all1	0011	0	0	0:s	0		s	1018	
tulil	all1	0011	tor	wood	np:dt_s	np		dt_s	1018	
tulil	all1	0011	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0011	e-bət	3SG.F-PROX2	rn	rn				
tulil	all1	0011	o	TOP	other	other				
tulil	all1	0011	kori	NEG	other	other				
tulil	all1	0011	go	NSPEC	ln	ln				
tulil	all1	0011	tor	wood	np:pred	np		pred		
tulil	all1	0011	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0011	#	#	##	##				
tulil	all1	0011	0	0	0:s	0		s	1018	
tulil	all1	0011	tor	wood	np:dt_s	np		dt_s	1018	
tulil	all1	0011	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0011	e-bət	3SG.F-PROX2	rn	rn				
tulil	all1	0011	o	TOP	other	other				
tulil	all1	0011	vəvat	monster	np:pred	np		pred		
tulil	all1	0011	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0011	#	#	##	##				
tulil	all1	0011	ve	3SG.F.POSS	ln_pro:poss	ln_pro		poss	1018	
tulil	all1	0011	itən	name	np:s	np		s	1019	bridging
tulil	all1	0011	=e	=SG.CL:FEM	=rn	=rn				
tulil	all1	0011	Levator	Levator	pn_np:pred	pn_np		pred		
tulil	all1	0012	#	#	##	##				
tulil	all1	0012	#	#	#ac	#ac				
tulil	all1	0012	doto	when;if	other	other				
tulil	all1	0012	voi	SG.FLAT	pro:a	pro		a	1009	
tulil	all1	0012	idə-re	3N.PST-carry	v:pred	v		pred		
tulil	all1	0012	=e	=3SG.F.PAT	=pro:p	=pro		p	1018	
tulil	all1	0012	mən=	from=	=adp	=adp				
tulil	all1	0012	nə-bo	LOC-UP	dem_other:l	dem_other		l		
tulil	all1	0012	%	%	%	%				
tulil	all1	0012	io	then	other	other				
tulil	all1	0012	təkə=	to=	=adp	=adp				
