corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tulil	alrm	0001	#	#	#nc	#nc				
tulil	alrm	0001	ngang	1SG	nc	nc				
tulil	alrm	0001	o	TOP	nc	nc				
tulil	alrm	0001	ava	again	nc	nc				
tulil	alrm	0001	nga	1SG.POSS	nc	nc				
tulil	alrm	0001	itən	name	nc	nc				
tulil	alrm	0001	=e	=SG.CL:FEM	nc	nc				
tulil	alrm	0001	moli	again	nc	nc				
tulil	alrm	0001	Augustine	Augustine	nc	nc				
tulil	alrm	0001	Rickie	Rickie	nc	nc				
tulil	alrm	0002	#	#	#nc	#nc				
tulil	alrm	0002	me	and	nc	nc				
tulil	alrm	0002	do	here;now	nc	nc				
tulil	alrm	0002	ava	again	nc	nc				
tulil	alrm	0002	ngə-mətor	1SG.PST-sit	nc	nc				
tulil	alrm	0002	#	#	#nc	#nc				
tulil	alrm	0002	da	PURP	nc	nc				
tulil	alrm	0002	ngan-ume	1SG.NPST-tell	nc	nc				
tulil	alrm	0002	bem	at	nc	nc				
tulil	alrm	0002	=a	=PAT	nc	nc				
tulil	alrm	0002	a-pir	ART-story	nc	nc				
tulil	alrm	0002	#	#	#nc	#nc				
tulil	alrm	0002	me	and	nc	nc				
tulil	alrm	0002	kori	NEG	nc	nc				
tulil	alrm	0002	go	NSPEC	nc	nc				
tulil	alrm	0002	a-pir	ART-story	nc	nc				
tulil	alrm	0002	#	#	#nc	#nc				
tulil	alrm	0002	a-pir	ART-story	nc	nc				
tulil	alrm	0002	təre	true	nc	nc				
tulil	alrm	0002	moli	real	nc	nc				
tulil	alrm	0002	#	#	#nc	#nc				
tulil	alrm	0002	to	REL	nc	nc				
tulil	alrm	0002	avar	also	nc	nc				
tulil	alrm	0002	ngang	1SG	nc	nc				
tulil	alrm	0002	ngə-matme	1SG.PST-work	nc	nc				
tulil	alrm	0002	dəm	on	nc	nc				
tulil	alrm	0003	#	#	##	##				
tulil	alrm	0003	a-pir	ART-story	np:dt_s	np		dt_s		
tulil	alrm	0003	idil	small	rn	rn				
tulil	alrm	0003	u-vi	3N-PROX1	rn	rn				
tulil	alrm	0003	o	TOP	other	other				
tulil	alrm	0003	0	0	0:s	0		s		
tulil	alrm	0003	bem	at	adp	adp				
tulil	alrm	0003	=a	=PAT	=ln	=ln				
tulil	alrm	0003	kəvənav	rain	np:pred	np		pred		
tulil	alrm	0003	=e	=SG.CL:FEM	=rn	=rn				
tulil	alrm	0003	#	#	#	#				
tulil	alrm	0003	0	0	0.1:a	0	1	a	2001	bridging
tulil	alrm	0003	to	SUB	other	other				
tulil	alrm	0003	ngə-matme	1SG.PST-work	v:pred	v		pred		
tulil	alrm	0003	da	on	rv	rv				
tulil	alrm	0003	kəvənav	rain	np:p	np		p	2002	new
tulil	alrm	0003	=e	=SG.CL:FEM	=rn	=rn				
tulil	alrm	0003	nga-n	1SG-COM	pro.1:dt	pro	1	dt	2001	
tulil	alrm	0003	=a	=PAT	=rn	=rn				
tulil	alrm	0003	nga	1SG.POSS	rn_pro.1:poss	rn_pro	1	poss	2001	
tulil	alrm	0003	məln	cousin	rn_np.h	rn_np	h		2003	new
tulil	alrm	0003	=a	=SG.CL:MASC	=rn	=rn				
tulil	alrm	0004	#	#	##	##				
tulil	alrm	0004	nga	1SG.POSS	ln_pro.1:poss	ln_pro	1	poss	2001	
tulil	alrm	0004	məln	cousin	ln_np.h:poss	ln_np	h	poss	2003	
tulil	alrm	0004	=a	=SG.CL:MASC	=ln	=ln				
tulil	alrm	0004	va	3SG.M.POSS	ln_pro.h:poss	ln_pro	h	poss	2003	
tulil	alrm	0004	itən	name	np:s	np		s	2004	bridging
tulil	alrm	0004	=e	=SG.CL:FEM	=rn	=rn				
tulil	alrm	0004	Fidelis	Fidelis	pn_np:pred	pn_np		pred		
tulil	alrm	0004	Vəninar	Vəninar	rn	rn				
tulil	alrm	0005	#	#	##	##				
tulil	alrm	0005	0	0	0.1:s	0	1	s	2001	
tulil	alrm	0005	be	at	adp	adp				
tulil	alrm	0005	laləng	year	np:dt	np		dt	2005	new
tulil	alrm	0005	=a	=SG.CL:MASC	=rn	=rn				
tulil	alrm	0005	1994	1994	np:appos	np		appos		
tulil	alrm	0005	o	TOP	other	other				
tulil	alrm	0005	ngang	1SG	pro.1:dt	pro	1	dt	2001	
tulil	alrm	0005	o	TOP	other	other				
tulil	alrm	0005	nga-n	1SG-COM	pro.1:dt_s	pro	1	dt_s	2001	
tulil	alrm	0005	=a	=PAT	=rn	=rn				
tulil	alrm	0005	nga	1SG.POSS	rn_pro.1:poss	rn_pro	1	poss	2001	
tulil	alrm	0005	məln	cousin	rn_np.h	rn_np	h		2003	
tulil	alrm	0005	=a	=SG.CL:MASC	=rn	=rn				
tulil	alrm	0005	a-vi	3SG.M-PROX1	other:dt	other		dt		
tulil	alrm	0005	o	TOP	other	other				
tulil	alrm	0005	ngunu-kər	1DL.PST-rise	v:pred	v		pred		
tulil	alrm	0005	tang	REFL	refl.1:p	refl	1	p	2006	bridging
tulil	alrm	0005	mən=	from=	=adp	=adp				
tulil	alrm	0005	do	here;now	other:l	other		l		
tulil	alrm	0005	təkə=	to=	=adp	=adp				
tulil	alrm	0005	nə-mumə	LOC-DOWN.FAR	other:g	other		g	2007	bridging
tulil	alrm	0005	#	#	#	#				
tulil	alrm	0005	0	0	0.1:s	0	1	s	2006	
tulil	alrm	0005	da	PURP	other	other				
tulil	alrm	0005	ngunu-t~teltel	1DL.PST-RED~wander	v:pred	v		pred		
tulil	alrm	0005	mat	finish	rv	rv				
tulil	alrm	0005	nə-mumə	LOC-DOWN.FAR	other	other				
tulil	alrm	0005	be	at	adp	adp				
tulil	alrm	0005	west	west	np:g	np		g	2008	new
tulil	alrm	0005	coast	coast	rn	rn				
tulil	alrm	0005	be	at	rn	rn				
tulil	alrm	0005	central	central	rn_np	rn_np			2009	new
tulil	alrm	0005	New Ireland	New_Ireland	rn_pn_np	rn_pn_np				
tulil	alrm	0005	ba	in	adp	adp				
tulil	alrm	0005	məngəd	home	np:appos	np		appos	2010	new
tulil	alrm	0005	=a	=SG.CL:MASC	=rn	=rn				
tulil	alrm	0005	#	#	#rc	#rc				
tulil	alrm	0005	0	0	0.h:s	0	h	s	2011	bridging
tulil	alrm	0005	to	REL	other	other				
tulil	alrm	0005	ta-t~tak	3PL.HUM.NPST-RED~call	v:pred	v		pred		
tulil	alrm	0005	bem	at	adp	adp				
tulil	alrm	0005	=a	=3SG.M.PAT	=pro.h:obl	=pro	h	obl	2006	
tulil	alrm	0005	tat-e	3PL-QUOT	other	other				
tulil	alrm	0005	be	at	adp	adp				
tulil	alrm	0005	Lambu	Lambu	pn_np:other	pn_np		other	2010	
tulil	alrm	0006	#	#	##	##				
tulil	alrm	0006	#	#	#ac	#ac				
tulil	alrm	0006	0	0	0.1:s	0	1	s	2006	
tulil	alrm	0006	doto	when;if	other	other				
tulil	alrm	0006	du-mətor	1PL.PST-sit	v:pred	v		pred		
tulil	alrm	0006	be	at	adp	adp				
tulil	alrm	0006	Lambu	Lambu	pn_np:l	pn_np		l	2010	
tulil	alrm	0006	%	%	%	%				
tulil	alrm	0006	o	TOP	other	other				
tulil	alrm	0006	udu	1PL	pro.1:s	pro	1	s	2006	
tulil	alrm	0006	du-m~mengə	1PL.PST-RED~sleep	v:pred	v		pred		
tulil	alrm	0006	ba	in	adp	adp				
tulil	alrm	0006	məngədə	home;village	np:l	np		l	2012	new
tulil	alrm	0006	kəledak	short	rn	rn				
tulil	alrm	0006	=a	=SG.CL:MASC	=rn	=rn				
tulil	alrm	0006	a-to	3SG.M-belong.to	rn	rn				
tulil	alrm	0006	tabu	in-law(kuanua)	rn	rn				
tulil	alrm	0006	nga	1SG.POSS	ln_pro.1:poss	ln_pro	1	poss	2001	
tulil	alrm	0006	vadok	in_law	np:appos	np		appos	2013	new
tulil	alrm	0006	=e	=SG.CL:FEM	=rn	=rn				
tulil	alrm	0006	Senta	Senta	pn_np:appos	pn_np		appos	2014	bridging
tulil	alrm	0007	#	#	##	##				
tulil	alrm	0007	0	0	0.h:s	0	h	s	2014	
tulil	alrm	0007	iap	3SG.M	pro.h:dt_poss	pro	h	dt_poss	2014	
tulil	alrm	0007	#	#	#rc	#rc				
tulil	alrm	0007	0	0	0.h:s	0	h	s	2014	
tulil	alrm	0007	to	REL	other	other				
tulil	alrm	0007	at-i~vi	3SG.M.NPST-RED~go	v:pred	v		pred		
tulil	alrm	0007	nogət	first	other	other				
tulil	alrm	0007	n	APPL	adp	adp				
tulil	alrm	0007	=udu	=1PL	=pro.1:obl	=pro	1	obl	2006	
tulil	alrm	0007	be	at	adp	adp				
tulil	alrm	0007	atad	church	np:other	np		other	2015	new
tulil	alrm	0007	=e	=SG.CL:FEM	=rn	=rn				
tulil	alrm	0007	%	%	%	%				
tulil	alrm	0007	iap	3SG.M	ln_pro.h:poss	ln_pro	h	poss	2014	
tulil	alrm	0007	va	3SG.M.POSS	ln_pro.h:poss	ln_pro	h	poss	2014	
tulil	alrm	0007	dərng	old	np.h:pred	np	h	pred	2016	new
tulil	alrm	0007	=e	=SG.CL:FEM	=rn	=rn				
tulil	alrm	0008	#	#	##	##				
tulil	alrm	0008	0	0	0.1:s	0	1	s	2006	
tulil	alrm	0008	du-mətor	1PL.PST-sit	v:pred	v		pred		
tulil	alrm	0008	nə-bət	LOC-PROX2	other	other				
tulil	alrm	0008	ba	in	adp	adp				
tulil	alrm	0008	ta	3PL.HUM	ln_pro.h:poss	ln_pro	h	poss	2017	bridging
tulil	alrm	0008	ta	3PL.HUM.POSS	ln_pro.h:poss	ln_pro	h	poss	2017	
tulil	alrm	0008	məngəd	home;village	np:l	np		l	2012	
tulil	alrm	0008	=a	=SG.CL:MASC	=rn	=rn				
tulil	alrm	0009	#	#	##	##				
tulil	alrm	0009	0	0	0.1:s	0	1	s	2006	
tulil	alrm	0009	me	and	other	other				
tulil	alrm	0009	doto	when;if	other	other				
tulil	alrm	0009	du-mətor	1PL.PST-sit	v:pred	v		pred		
tulil	alrm	0009	nə-bət	LOC-PROX2	dem_other:l	dem_other		l	2012	
tulil	alrm	0009	#	#	#	#				
tulil	alrm	0009	to	SUB	other	other				
tulil	alrm	0009	lət	arrive	v:pred	v		pred		
tulil	alrm	0009	n	APPL	rv	rv				
tulil	alrm	0009	=udu	=1PL	=pro.1:s_sv	=pro	1	s_sv	2006	
tulil	alrm	0009	təkə=	to=	=adp	=adp				
tulil	alrm	0009	nə-mu	LOC-IN	dem_other	dem_other				
tulil	alrm	0009	ba	in	adp	adp				
tulil	alrm	0009	məngəd	home;village	np:g	np		g	2012	
tulil	alrm	0009	=a	=SG.CL:MASC	=rn	=rn				
tulil	alrm	0009	a-bət	3SG.M-PROX2	rn	rn				
tulil	alrm	0009	#	#	##	##				
tulil	alrm	0009	me	and	other	other				
tulil	alrm	0009	a-bət	3SG.M-PROX2	dem_pro:dt_p	dem_pro		dt_p	2012	
tulil	alrm	0009	o	TOP	other	other				
tulil	alrm	0009	vənu	sun	np:a	np		a	2018	unused
tulil	alrm	0009	laik	big	rn	rn				
tulil	alrm	0009	=a	=SG.CL:MASC	=rn	=rn				
tulil	alrm	0009	bə=	ASP=	=other	=other				
