corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tulil	lnsl	0001	#	#	#nc	#nc				
tulil	lnsl	0001	ngan-əngar	1SG.NPST-tell	nc	nc				
tulil	lnsl	0001	be	at	nc	nc				
tulil	lnsl	0001	a-pir	ART-story	nc	nc				
tulil	lnsl	0001	bem	at	nc	nc				
tulil	lnsl	0001	=a	=PAT	nc	nc				
tulil	lnsl	0001	e-vi	3SG.F-PROX1	nc	nc				
tulil	lnsl	0001	mutər	big_conch_shell	nc	nc				
tulil	lnsl	0001	=e	=SG.CL:FEM	nc	nc				
tulil	lnsl	0002	#	#	##	##				
tulil	lnsl	0002	ar	still	other	other				
tulil	lnsl	0002	bəvon	before	other:dt	other		dt		
tulil	lnsl	0002	kup	far	rn	rn				
tulil	lnsl	0002	o	TOP	other	other				
tulil	lnsl	0002	e-vi	3SG.F-PROX1	dem_other.d:dt_s	dem_other	d	dt_s	4001	new
tulil	lnsl	0002	mutər	big_conch_shell	np.d:appos	np	d	appos	4001	
tulil	lnsl	0002	=e	=SG.CL:FEM	=rn	=rn				
tulil	lnsl	0002	o	TOP	other	other				
tulil	lnsl	0002	mən=	from=	=other	=other				
tulil	lnsl	0002	ba	in	adp	adp				
tulil	lnsl	0002	tivən	stone	np:pred	np		pred		
tulil	lnsl	0002	n	APPL	rn	rn				
tulil	lnsl	0002	=e	=3SG.F	=pro.d:s	=pro	d	s		
tulil	lnsl	0002	ba	in	adp	adp				
tulil	lnsl	0002	voki	hole	np:l	np		l	4002	bridging
tulil	lnsl	0002	ba	in	rn	rn				
tulil	lnsl	0002	tivən	stone	rn_np	rn_np			4003	bridging
tulil	lnsl	0003	#	#	##	##				
tulil	lnsl	0003	0	0	0.d:a	0	d	a	4001	
tulil	lnsl	0003	vənu	day	np:dt	np		dt		
tulil	lnsl	0003	təgət	one	rn	rn				
tulil	lnsl	0003	=a	=SG.CL:MASC	=rn	=rn				
tulil	lnsl	0003	o	TOP	other	other				
tulil	lnsl	0003	i-tek	3SG.F.PST-get_up	v:pred	v		pred		
tulil	lnsl	0003	tang	REFL\RECP	refl.d:p	refl	d	p	4001	
tulil	lnsl	0003	mən=	from=	=adp	=adp				
tulil	lnsl	0003	nə-mu	LOC-INSIDE\INLAND	dem_other	dem_other				
tulil	lnsl	0003	ba	in	adp	adp				
tulil	lnsl	0003	voki	hole	np:l	np		l	4002	
tulil	lnsl	0003	=e	=SG.CL:FEM	=rn	=rn				
tulil	lnsl	0003	tə=	TO=	=adp	=adp				
tulil	lnsl	0003	dəratəm	outside	other:g	other		g		
tulil	lnsl	0003	#	#	#	#				
tulil	lnsl	0003	0	0	0.d:s	0	d	s	4001	
tulil	lnsl	0003	da	PURP	other	other				
tulil	lnsl	0003	i-təlavənung	3SG.F.PST-dry_under_sun	v:pred	v		pred		
tulil	lnsl	0004	#	#	##	##				
tulil	lnsl	0004	#	#	#rc:dt	#rc		dt		
tulil	lnsl	0004	0	0	0.d:s	0	d	s	4001	
tulil	lnsl	0004	nə-bət	LOC-PROX2	dem_pro:other	dem_pro		other		
tulil	lnsl	0004	to	REL	other	other				
tulil	lnsl	0004	i-təlavənung	3SG.F.PST-dry_under_sun	v:pred	v		pred		
tulil	lnsl	0004	%	%	%	%				
tulil	lnsl	0004	məlang	african_lizard	np.d:a	np	d	a	4004	new
tulil	lnsl	0004	=a	=SG.CL:MASC	=rn	=rn				
tulil	lnsl	0004	v-tər	3SG.M.PST-come_to_meet	v:pred	v		pred		
tulil	lnsl	0004	=e	=3SG.F.PAT	=pro.d:p	=pro	d	p	4001	
tulil	lnsl	0004	nə-bət	LOC-PROX2	dem_other:l	dem_other		l	4005	bridging
tulil	lnsl	0004	#	#	#	#				
tulil	lnsl	0004	0	0	0.d:s	0	d	s	4001	
tulil	lnsl	0004	to	REL	other	other				
tulil	lnsl	0004	i-təlavənung	3SG.F.PST-dry_under_sun	v:pred	v		pred		
tulil	lnsl	0005	#	#	##	##				
tulil	lnsl	0005	0	0	0.d:a_ds	0	d	a_ds	4004	
tulil	lnsl	0005	io	then	other	other				
tulil	lnsl	0005	və-tir	3SG.M.PST-ask	v:pred	v		pred		
tulil	lnsl	0005	=e	=3SG.F.PAT	=pro.d:p	=pro	d	p	4001	
tulil	lnsl	0005	at-e	3SG.M-QUOT	other	other				
tulil	lnsl	0005	#	#	##ds	##ds				
tulil	lnsl	0005	nging	2SG	pro.1:dt	pro	1	dt	4001	
tulil	lnsl	0005	o	TOP	other	other				
tulil	lnsl	0005	mən=	from=	=adp	=adp				
tulil	lnsl	0005	nə-bi	LOC-where	intrg_other:pred	intrg_other		pred		
tulil	lnsl	0005	nə	APPL	rn	rn				
tulil	lnsl	0005	nging	2SG	pro.2:s	pro	2	s	4001	
tulil	lnsl	0006	#	#	##	##				
tulil	lnsl	0006	0	0	0.h:s_ds	0	h	s_ds	4001	
tulil	lnsl	0006	et-e	3SG.F-QUOT	other:pred	other		pred		
tulil	lnsl	0006	#	#	#ds	#ds				
tulil	lnsl	0006	ava	just	other	other				
tulil	lnsl	0006	ngang	1SG	pro.1:dt	pro	1	dt	4001	
tulil	lnsl	0006	o	TOP	other	other				
tulil	lnsl	0006	nga	1SG.POSS.AL	ln_pro.1:poss	ln_pro	1	poss	4001	
tulil	lnsl	0006	məngəd	home	np:s	np		s	4002	
tulil	lnsl	0006	=a	=SG.CL:MASC	=rn	=rn				
tulil	lnsl	0006	a-mu	3SG.M-INSIDE\INLAND	dem_other:pred	dem_other		pred		
tulil	lnsl	0006	ba	in	adp	adp				
tulil	lnsl	0006	voki	hole	np:l	np		l	4002	
tulil	lnsl	0006	=e	=SG.CL:FEM	=rn	=rn				
tulil	lnsl	0006	e-mu	3SG.F-INSIDE\INLAND	rn	rn				
tulil	lnsl	0006	nə-mu	LOC-INSIDE\INLAND	rn	rn				
tulil	lnsl	0006	ba	in	rn	rn				
tulil	lnsl	0006	tivən	stone	rn_np	rn_np			4003	
tulil	lnsl	0007	#	#	##	##				
tulil	lnsl	0007	io	then	other	other				
tulil	lnsl	0007	iep	3SG.F	pro.d:s	pro	d	s	4001	
tulil	lnsl	0007	i-tir	3SG.F.PST-ask	v:pred	v		pred		
tulil	lnsl	0007	liu	back	rv	rv				
tulil	lnsl	0007	tuk	to	adp	adp				
tulil	lnsl	0007	=a	=3SG.M.PAT	=pro.d:obl	=pro	d	obl	4004	
tulil	lnsl	0007	et-e	3SG.F-QUOT	other	other				
tulil	lnsl	0007	#	#	#nc	#nc				
tulil	lnsl	0007	me	and	nc	nc				
tulil	lnsl	0007	nging	2SG	nc_pro.2	nc_pro	2		4004	
tulil	lnsl	0008	#	#	##	##				
tulil	lnsl	0008	0	0	0.2:s	0	2	s	4004	
tulil	lnsl	0008	nging	2SG	pro.2:dt	pro	2	dt	4004	
tulil	lnsl	0008	o	TOP	other	other				
tulil	lnsl	0008	ngin-em~engəp	2SG.NPST-RED~sleep	v:pred	v		pred		
tulil	lnsl	0008	nə-bi	LOC-where	intrg_other:l	intrg_other		l		
tulil	lnsl	0009	#	#	##ds	##ds				
tulil	lnsl	0009	ava	just	other	other				
tulil	lnsl	0009	0	0	0.1:s	0	1	s	4004	
tulil	lnsl	0009	ngang	1SG	pro.1:dt	pro	1	dt	4004	
tulil	lnsl	0009	o	TOP	other	other				
tulil	lnsl	0009	nə-bət	LOC-PROX2	dem_other:pred	dem_other		pred		
tulil	lnsl	0009	konəng	only	rn	rn				
tulil	lnsl	0009	davə	up	other	other				
tulil	lnsl	0009	avar	also	other	other				
tulil	lnsl	0009	ba	in	adp	adp				
tulil	lnsl	0009	voki	hole	np:l	np		l	4002	
tulil	lnsl	0009	=e	=SG.CL:FEM	=rn	=rn				
tulil	lnsl	0009	e-bət	3SG.F-PROX2	rn	rn				
tulil	lnsl	0010	#	#	##	##				
tulil	lnsl	0010	0	0	0.d:s	0	d	s	4004	
tulil	lnsl	0010	at-e	3SG.M-QUOT	other:pred	other		pred		
tulil	lnsl	0010	#	#	##ds	##ds				
tulil	lnsl	0010	io	then	other	other				
tulil	lnsl	0010	mərek	good	other:pred	other		pred		
tulil	lnsl	0011	#	#	##ds	##ds				
tulil	lnsl	0011	da	PURP	other	other				
tulil	lnsl	0011	nging	2SG	pro.2:dt_s	pro	2	dt_s	4001	
tulil	lnsl	0011	o	TOP	other	other				
tulil	lnsl	0011	bə	ASP	other	other				
tulil	lnsl	0011	ngang	1SG	ln_pro.1:dt_poss	ln_pro	1	dt_poss		
tulil	lnsl	0011	nga	1SG.POSS.AL	ln_pro.1:poss	ln_pro	1	poss	4004	
tulil	lnsl	0011	var	friend	np.d:pred	np	d	pred		
tulil	lnsl	0011	=e	=SG.CL:FEM	=rn	=rn				
tulil	lnsl	0011	nging	2SG	pro.2:s	pro	2	s	4001	
tulil	lnsl	0012	#	#	##ds	##ds				
tulil	lnsl	0012	da	PURP	other	other				
tulil	lnsl	0012	ngun	1DL	pro.1:dt	pro	1	dt	4006	bridging
tulil	lnsl	0012	o	TOP	other	other				
tulil	lnsl	0012	ləm~ləm	RED~live	v:pred	v		pred		
tulil	lnsl	0012	ngun	1DL	pro.1:s_sv	pro	1	s_sv	4006	
tulil	lnsl	0012	o	TOP	other	other				
tulil	lnsl	0012	#	#	#	#				
tulil	lnsl	0012	do	here;now	other:pred	other		pred		
tulil	lnsl	0012	davə	up	other:l	other		l	4002	
tulil	lnsl	0013	#	#	##	##				
tulil	lnsl	0013	0	0	0.d:s	0	d	s	4006	
tulil	lnsl	0013	ipə-bokbok	3DL.M.PST-talk	v:pred	v		pred		
tulil	lnsl	0013	nandi	like_this	other	other				
tulil	lnsl	0013	#	#	##	##				
tulil	lnsl	0013	io	then	other	other				
tulil	lnsl	0013	idə-tər	3N.PST-surprise	v:pred	v		pred		
tulil	lnsl	0013	ip	3DL.M	pro.d:s_iv	pro	d	s_iv	4006	
tulil	lnsl	0013	ava	again	other	other				
tulil	lnsl	0013	vəda	for	adp	adp				
tulil	lnsl	0013	a-torotel	ART-turtle	np.d:obl	np	d	obl	4007	new
tulil	lnsl	0013	#	#	#	#				
tulil	lnsl	0013	0	0	0.d:s	0	d	s	4007	
tulil	lnsl	0013	to	SUB	other	other				
tulil	lnsl	0013	i-kər	3SG.F.PST-climb	v:pred	v		pred		
tulil	lnsl	0013	mən=	from=	=adp	=adp				
tulil	lnsl	0013	nə-m~mə	LOC-RED~DOWN	dem_other	dem_other				
tulil	lnsl	0013	ba	in	adp	adp				
tulil	lnsl	0013	viuv	sea	np:l	np		l	4008	bridging
tulil	lnsl	0013	=e	=SG.CL:FEM	=rn	=rn				
tulil	lnsl	0013	mən=	from=	=adp	=adp				
tulil	lnsl	0013	ba	in	adp	adp				
tulil	lnsl	0013	ioi	water	np:dt_l	np		dt_l	4008	
tulil	lnsl	0013	təkə=	TO=	=adp	=adp				
tulil	lnsl	0013	nə-bət	LOC-PROX2	dem_other	dem_other				
tulil	lnsl	0013	tuk	to	adp	adp				
tulil	lnsl	0013	ip	3DL.M	pro.d:g	pro	d	g	4006	
tulil	lnsl	0014	#	#	##	##				
tulil	lnsl	0014	0	0	0.d:a	0	d	a	4007	
tulil	lnsl	0014	ava	again;also	other	other				
tulil	lnsl	0014	i-tir	3SG.F.PST-ask	v:pred	v		pred		
tulil	lnsl	0014	=a	=PAT	=ln	=ln				
tulil	lnsl	0014	e-vi	3SG.F-PROX1	dem_pro.d:p	dem_pro	d	p	4001	
tulil	lnsl	0015	#	#	##ds	##ds				
tulil	lnsl	0015	nging	2SG	pro.2:dt_s	pro	2	dt_s	4001	
tulil	lnsl	0015	o	TOP	other	other				
tulil	lnsl	0015	mən=	from=	=adp	=adp				
