corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
tulil	lrdw	0001	#	#	#nc	#nc				
tulil	lrdw	0001	mərek	good	nc	nc				
tulil	lrdw	0001	vəvat	very	nc	nc				
tulil	lrdw	0001	bətm	with	nc	nc				
tulil	lrdw	0001	=a	=PAT	nc	nc				
tulil	lrdw	0001	Mr Mark	Mr_Mark	nc	nc				
tulil	lrdw	0001	me	and	nc	nc				
tulil	lrdw	0001	va	3SG.M.POSS	nc	nc				
tulil	lrdw	0001	ləidi	lady	nc	nc				
tulil	lrdw	0001	(#)	(#)	nc	nc				
tulil	lrdw	0001	kori	NEG	nc	nc				
tulil	lrdw	0001	(#)	(#)	nc	nc				
tulil	lrdw	0001	ngə-təm	1SG.PST-know	nc	nc				
tulil	lrdw	0001	=a	=PAT	nc	nc				
tulil	lrdw	0001	ve	3SG.F.POSS	nc	nc				
tulil	lrdw	0001	itən	name	nc	nc				
tulil	lrdw	0001	=e	=SG.CL:FEM	nc	nc				
tulil	lrdw	0002	(#)	(#)	nc	nc				
tulil	lrdw	0002	mərek	good	nc	nc				
tulil	lrdw	0002	vəvat	very	nc	nc				
tulil	lrdw	0003	(#)	(#)	nc	nc				
tulil	lrdw	0003	do	here;now	nc	nc				
tulil	lrdw	0003	(#)	(#)	nc	nc				
tulil	lrdw	0003	ngan-əngar	1SG.NPST-say	nc	nc				
tulil	lrdw	0003	be	at	nc	nc				
tulil	lrdw	0003	a-pir	ART-story	nc	nc				
tulil	lrdw	0003	be	at	nc	nc				
tulil	lrdw	0003	kəvov	dog	nc	nc				
tulil	lrdw	0003	=a	=SG.CL:MASC	nc	nc				
tulil	lrdw	0003	a-n	3SG.M-with	nc	nc				
tulil	lrdw	0003	=a	=PAT	nc	nc				
tulil	lrdw	0003	tudək	wallaby	nc	nc				
tulil	lrdw	0003	=a	=SG.CL:MASC	nc	nc				
tulil	lrdw	0004	#	#	##	##				
tulil	lrdw	0004	kəvov	dog	np.d:dt_s	np	d	dt_s	5001	new
tulil	lrdw	0004	=a	=SG.CL:MASC	=rn	=rn				
tulil	lrdw	0004	a-n	3SG.M-COM	rn	rn				
tulil	lrdw	0004	=a	=PAT	=rn	=rn				
tulil	lrdw	0004	tudək	wallaby	rn_np.d	rn_np	d		5002	new
tulil	lrdw	0004	=a	=SG.CL:MASC	=rn	=rn				
tulil	lrdw	0004	o	TOP	other	other				
tulil	lrdw	0004	bəvon	before	other:dt	other		dt		
tulil	lrdw	0004	o	TOP	other	other				
tulil	lrdw	0004	ip	3DL.M	pro.d:s	pro	d	s	5003	bridging
tulil	lrdw	0004	o	TOP	other	other				
tulil	lrdw	0004	məgət	like	adp	adp				
tulil	lrdw	0004	tang	REFL	refl.d:pred	refl	d	pred		
tulil	lrdw	0004	ip	3DL.M	rn_pro.d	rn_pro	d			
tulil	lrdw	0004	#	#	#	#				
tulil	lrdw	0004	0	0	0.d:s	0	d	s	5003	
tulil	lrdw	0004	to	SUB	other	other				
tulil	lrdw	0004	ipə-p~pi	3DL.M.PST-RED~go;walk	v:pred	v		pred		
tulil	lrdw	0004	n	with	adp	adp				
tulil	lrdw	0004	=a	=PAT	=ln	=ln				
tulil	lrdw	0004	mərkəm	leg	np:obl	np		obl	5004	bridging
tulil	lrdw	0004	balakətəria	four	rn	rn				
tulil	lrdw	0005	#	#	##	##				
tulil	lrdw	0005	navonbət	like_that	other	other				
tulil	lrdw	0005	kəvov	dog	np.d:dt	np	d	dt	5001	
tulil	lrdw	0005	=a	=SG.CL:MASC	=rn	=rn				
tulil	lrdw	0005	a-n	3SG.M-with	rn	rn				
tulil	lrdw	0005	=a	=PAT	=rn	=rn				
tulil	lrdw	0005	tudək	wallaby	rn_np.d	rn_np	d		5002	
tulil	lrdw	0005	=a	=SG.CL:MASC	=rn	=rn				
tulil	lrdw	0005	o	TOP	other	other				
tulil	lrdw	0005	kəvov	dog	ln_np.d:poss	ln_np	d	poss	5001	
tulil	lrdw	0005	=a	=SG.CL:MASC	=ln	=ln				
tulil	lrdw	0005	va	3SG.M.POSS	ln_pro.d:poss	ln_pro	d	poss	5001	
tulil	lrdw	0005	var	friend	np:s	np		s	5002	
tulil	lrdw	0005	mərek	good	rn	rn				
tulil	lrdw	0005	=a	=SG.CL:MASC	=rn	=rn				
tulil	lrdw	0005	tudək	wallaby	np.d:pred	np	d	pred		
tulil	lrdw	0005	=a	=SG.CL:MASC	=rn	=rn				
tulil	lrdw	0006	#	#	##	##				
tulil	lrdw	0006	vəti	day	np:dt	np		dt		
tulil	lrdw	0006	təgə	one	rn	rn				
tulil	lrdw	0006	=von	=von	=rn	=rn				
tulil	lrdw	0006	o	TOP	other	other				
tulil	lrdw	0006	kəvov	dog	np.d:s_ds	np	d	s_ds	5001	
tulil	lrdw	0006	=a	=SG.CL:MASC	=ln	=ln				
tulil	lrdw	0006	v-əngar	3SG.M.PST-say	v:pred	v		pred		
tulil	lrdw	0006	tuk	give	adp	adp				
tulil	lrdw	0006	=a	=PAT	=ln	=ln				
tulil	lrdw	0006	tudək	wallaby	np.d:obl	np	d	obl	5002	
tulil	lrdw	0006	=a	=SG.CL:MASC	=rn	=rn				
tulil	lrdw	0006	ate	3SG.M-QUOT	other	other				
tulil	lrdw	0006	#	#	##ds	##ds				
tulil	lrdw	0006	ləi	ləi	other	other				
tulil	lrdw	0006	a-bo	3SG.M-UP	dem_pro.2:voc	dem_pro	2	voc	5002	
tulil	lrdw	0006	0	0	0.1:s	0	1	s	5003	
tulil	lrdw	0006	da	PURP	other	other				
tulil	lrdw	0006	ngu-teltel	1DL.NPST-wander	v:pred	v		pred		
tulil	lrdw	0006	ba	in	adp	adp				
tulil	lrdw	0006	viuv	sea	np:l	np		l	5005	new
tulil	lrdw	0006	=e	=SG.CL:FEM	=rn	=rn				
tulil	lrdw	0006	#	#	##ds	##ds				
tulil	lrdw	0006	0	0	0.1:s	0	1	s	5003	
tulil	lrdw	0006	ngut-nanət	1DL.NPST-swim	v:pred	v		pred		
tulil	lrdw	0006	navodi	like_this	other	other				
tulil	lrdw	0007	#	#	##	##				
tulil	lrdw	0007	tudək	wallaby	np.d:s_ds	np	d	s_ds	5002	
tulil	lrdw	0007	=a	=SG.CL:MASC	=rn	=rn				
tulil	lrdw	0007	v-əngar	3SG.M.PST-say	v:pred	v		pred		
tulil	lrdw	0007	at-e	3SG.M-QUOT	other	other				
tulil	lrdw	0007	#	#	##ds.neg	##ds.neg				
tulil	lrdw	0007	0	0	0.1:a	0	1	a	5002	
tulil	lrdw	0007	məie	but	other	other				
tulil	lrdw	0007	ngang	1SG	pro.1:dt_s	pro	1	dt_s	5002	
tulil	lrdw	0007	o	TOP	other	other				
tulil	lrdw	0007	kori	NEG	other	other				
tulil	lrdw	0007	ngə-təm	1SG.PST-know	v:pred	v		pred		
tulil	lrdw	0007	mərek	good	rv	rv				
tulil	lrdw	0007	n	APPL	rv	rv				
tulil	lrdw	0007	=a	=PAT	=ln	=ln				
tulil	lrdw	0007	nanət	swim	np:p	np		p	5006	bridging
tulil	lrdw	0008	#	#	##	##				
tulil	lrdw	0008	kəvov	dog	np.d:s_ds	np	d	s_ds	5001	
tulil	lrdw	0008	=a	=SG.CL:MASC	=ln	=ln				
tulil	lrdw	0008	at-e	3SG.M-QUOT	other:pred	other		pred		
tulil	lrdw	0008	#	#	#ds	#ds				
