ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1009,1028,<
2,1018,1020,>
3,1018,1021,>
4,1020,1018,M
5,1021,1018,M
6,1026,1028,M
7,1027,1028,<
8,1028,1009,>
9,1028,1026,>
10,1028,1027,>
11,2001,2060,>
12,2001,2062,>
13,2001,2071,>
14,2001,2073,>
15,2001,2006,<
16,2001,2034,<
17,2001,2054,<
18,2003,2050,>
19,2003,2006,<
20,2003,2034,<
21,2006,2001,>
22,2006,2003,>
23,2006,2034,<
24,2013,2017,<
25,2013,2034,<
26,2016,2017,<
27,2016,2034,<
28,2017,2013,>
29,2017,2016,>
30,2017,2034,<
31,2018,2069,>
32,2021,2078,>
33,2021,2022,<
34,2022,2020,>
35,2022,2021,>
36,2030,2031,>
37,2031,2030,M
38,2034,2001,>
39,2034,2003,>
40,2034,2006,>
41,2034,2013,>
42,2034,2016,>
43,2034,2017,>
44,2034,2036,>
45,2036,2034,<
46,2050,2003,M
47,2053,2054,<
48,2054,2001,>
49,2054,2053,>
50,2054,2073,>
51,2055,2058,>
52,2058,2055,M
53,2059,2086,>
54,2060,2001,M
55,2062,2001,M
56,2069,2018,M
57,2071,2001,M
58,2073,2001,M
59,2073,2054,M
60,2078,2021,M
61,2082,2085,<
62,2084,2085,<
63,2085,2082,>
64,2085,2084,>
65,2086,2059,M
66,2103,2115,<
67,2115,2103,>
68,2115,2116,>
69,2116,2115,<
70,3001,3015,>
71,3001,3013,<
72,3002,3090,>
73,3002,3109,>
74,3002,3110,>
75,3002,3004,<
76,3002,3013,<
77,3002,3020,<
78,3002,3071,<
79,3002,3104,<
80,3004,3002,>
81,3004,3020,>
82,3004,3021,>
83,3004,3022,>
84,3004,3023,>
85,3004,3024,>
86,3004,3025,>
87,3004,3026,>
88,3004,3062,>
89,3004,3020,<
90,3013,3001,>
91,3013,3002,>
92,3015,3001,M
93,3016,3026,>
94,3016,3053,>
95,3018,3026,>
96,3019,3026,>
97,3019,3046,>
98,3020,3002,>
99,3020,3004,>
100,3020,3021,>
101,3020,3022,>
102,3020,3023,>
103,3020,3024,>
104,3020,3025,>
105,3020,3026,>
106,3020,3004,<
107,3021,3026,>
108,3021,3004,<
109,3021,3020,<
110,3022,3026,>
111,3022,3004,<
112,3022,3020,<
113,3023,3026,>
114,3023,3004,<
115,3023,3020,<
116,3024,3026,>
117,3024,3004,<
118,3024,3020,<
119,3025,3026,>
120,3025,3004,<
121,3025,3020,<
122,3026,3002,M
123,3026,3004,M
124,3026,3016,M
125,3026,3018,M
126,3026,3019,M
127,3026,3020,M
128,3026,3021,M
129,3026,3022,M
130,3026,3023,M
131,3026,3024,M
132,3026,3025,M
133,3041,3042,>
134,3041,3043,>
135,3041,3044,>
136,3041,3045,>
137,3042,3041,<
138,3042,3052,<
139,3043,3041,<
140,3043,3052,<
141,3044,3041,<
142,3045,3041,<
143,3046,3019,M
144,3052,3042,>
145,3052,3043,>
146,3053,3016,M
147,3056,3099,<
148,3062,3004,<
149,3068,3071,<
150,3068,3099,<
151,3071,3002,>
152,3071,3068,>
153,3080,3081,M
154,3081,3080,<
155,3083,3085,>
156,3083,3086,>
157,3085,3083,M
158,3086,3083,M
159,3090,3002,M
160,3099,3056,>
161,3099,3068,>
162,3099,3100,>
163,3099,3101,>
164,3099,3102,>
165,3100,3099,<
166,3101,3099,<
167,3102,3099,<
168,3104,3002,>
169,3104,3112,>
170,3104,3120,>
171,3104,3134,>
172,3104,3146,>
173,3104,3147,>
174,3104,3152,>
175,3104,3160,>
176,3104,3161,>
177,3109,3002,M
178,3110,3002,M
179,3112,3104,<
180,3120,3104,M
181,3122,3124,<
182,3123,3124,<
183,3124,3122,>
184,3124,3123,>
185,3134,3135,>
186,3134,3138,>
187,3134,3104,<
188,3135,3134,M
189,3138,3134,<
190,3146,3104,<
191,3147,3104,<
192,3152,3104,<
193,3160,3104,<
194,3161,3104,<
195,4001,4011,>
196,4001,4006,<
197,4001,4009,<
198,4004,4010,>
199,4004,4006,<
200,4004,4013,<
201,4006,4001,>
202,4006,4004,>
203,4007,4012,>
204,4007,4009,<
205,4007,4013,<
206,4009,4001,>
207,4009,4007,>
208,4010,4004,M
209,4011,4001,M
210,4012,4007,M
211,4013,4004,>
212,4013,4007,>
213,5001,5004,>
214,5001,5019,>
215,5001,5021,>
216,5001,5003,<
217,5002,5004,>
218,5002,5016,>
219,5002,5022,>
220,5002,5023,>
221,5002,5003,<
222,5003,5001,>
223,5003,5002,>
224,5003,5004,>
225,5004,5001,M
226,5004,5002,M
227,5004,5003,M
228,5016,5002,M
229,5019,5001,M
230,5021,5001,M
231,5022,5002,M
232,5023,5002,M
233,6001,6022,>
234,6001,6025,>
235,6001,6007,<
236,6001,6009,<
237,6001,6010,<
238,6002,6018,>
239,6002,6028,>
240,6002,6029,>
241,6002,6007,<
242,6002,6009,<
243,6007,6001,>
244,6007,6002,>
245,6007,6009,<
246,6008,6012,>
247,6008,6013,>
248,6008,6014,>
249,6008,6015,>
250,6008,6017,>
251,6008,6009,<
252,6008,6010,<
253,6009,6001,>
254,6009,6002,>
255,6009,6007,>
256,6009,6008,>
257,6010,6001,>
258,6010,6008,>
259,6012,6008,M
260,6013,6008,M
261,6014,6008,M
262,6015,6008,M
263,6017,6008,M
264,6018,6002,M
265,6022,6001,M
266,6025,6001,M
267,6028,6002,M
268,6029,6002,M
