refind,label,description,class,notes
∅,,,,
1001,ibən,land Butan,loc,
1002,tor,log of wood,inm,
1003,ZERO,Kankan,hum,
1004,v,grandfather of speaker,hum,
1005,gup,hunting of Kankan,abs,
1006,kəvənau,big rain,inm,
1007,tipur,forest,loc,
1008,kəvop,dogs,anm,
1009,Voi,pig river,loc,
1010,itən,name of the pig river,abs,
1011,tarn,umbrella,inm,
1012,kən,river bank,loc,
1013,vəret,one side of the river,loc,
1014,nangə,trees (in the river),inm,
1015,ZERO,flood,inm,
1016,ioi,sea,loc,
1017,məngəd,home village of 1003,loc,
1018,tor,log of wood; dragon,anm,
1019,itən,name of dragon (Levator),abs,
1020,nung,bottom of dragon,bdp,
1021,lat,head of dragon,bdp,
1022,vəret,other side of the river,loc,
1024,kəbərion,dream,abs,
1025,nga,speaker,hum,
1026,lat,head of pig river,loc,
1027,Vərgoi,Vergoi river,loc,
1028,maok,places where dragon goes,loc,
1029,ro,bamboo,inm,
1030,nangə,trees,inm,
1031,ZERO,the people of New Ireland,hum,
1032,NiuAiland,New Ireland,loc,
1033,Ailand,island (that is actually the dragon),inm,
2001,ZERO,speaker,hum,
2002,kəvənav,rain,inm,
2003,məln,"cousin, Fidelis Veninar",hum,
2004,itən,name of cousin,abs,
2005,laləng,the year 1994,tme,
2006,tang,speaker and cousin,hum,
2007,nə-mumə,"place of departure, probably location of speaker",loc,
2008,west coast,where they are going,loc,
2009,central new ireland,central new ireland,loc,
2010,məngəd,place which they call Lambu,loc,
2011,ZERO,they (generic),hum,
2012,məngədə,"village, home of in-law Senta",loc,
2013,vadok,in-law,hum,
2014,Senta,name of in-law (Senta),abs,
2015,atad,church,inm,
2016,dərng,wife of Senta,hum,
2017,ta,wife and Senta,hum,
2018,vənu,sun,inm,
2019,təre,things,inm,
2020,tipur,bush,inm,
2021,nangə,trees,inm,
2022,idə.,bushes and trees,inm,
2023,bu,betelnut,inm,
2024,mərəm,fruit,inm,
2025,turin,fire,inm,
2026,nangə,really big trees,inm,
2027,ioi,water,mss,
2028,"Mətəvut,","Mətəvut,",loc,
2029,toktok,"ending of Mətəvut,",loc,
2030,Dava,Dava,loc,
2031,do,head of Dava,bdp,
2032,tuk,big road,loc,
2033,molimoli,people that are jailed,hum,
2034,ZERO,"speaker, cousin, and people from 2010",hum,
2035,maok,time of staying in 2010,tme,
2036,molimoli,people from 2010,hum,
2037,"tangədə,",cooking,abs,
2038,nakən.,drinking,abs,
2039,tivən,rocks on the road,inm,
2040,bərən.',mountain,loc,
2041,kəguing.,grass,inm,
2042,balut,birds,anm,
2043,lovakəti,hotness,abs,
2046,təre,Something 2003 wants to make,inm,
2047,nang,herbs to make it rain,inm,
2048,"itən,",name of herbs,abs,
2049,tukər,wound of 2003,inm,
2050,katə,feet of 2003,bdp,
2051,ngari,big peanut tree,loc,
2052,ro,bamboo,inm,
2053,Langer,David Langer,hum,
2054,ZERO,David Langer and speaker,hum,
2055,nang,herb with the name of a-kidəkidam,inm,
2056,itən,name of 2055,abs,
2057,a-purpur,flower,inm,
2058,u,leaf of 2055,inm,
2059,urəng,waterfall,loc,
2060,nok,hand of 2001,bdp,
2061,kəbitə,rope-plants at waterfall,inm,
2062,kuvit,nails of 2001,bdp,
2063,utəm,sky,inm,
2064,kəmur,"smoke, big gray cloud",inm,
2065,bərivu,wind,inm,
2066,vət,place where sun goes down,loc,
2067,vət,place where the sun rises,loc,
2068,ianem,lightning,inm,
2069,umi,the sun's eye,bdp,
2070,tərotərot,raindrops,inm,
2071,do,head of speaker,bdp,
2072,vərdət,darkness,abs,
2073,mi,eyes of 2054,bdp,
2074,vul,night,tme,
2075,a-tade,two weeks,tme,
2076,miləmiləng,drizzling,inm,
2077,kəvəlok,shoots on the trees,inm,
2078,kən,neck of the trees,inm,
2079,kəvəlok,buds on the bush,inm,
2080,vəti,two days,tme,
2081,vəti,one day,tme,
2082,mukəm,"in-law of David, one of Senta's fathers",hum,
2083,ti,fathers of Senta,hum,
2084,dərng,2082's wife,hum,
2085,ZERO,2082 and 2084,hum,
2086,nung,bottom of waterfall,inm,
2087,von,time when the rain was falling heavily,tme,
2088,ZERO,flood from the heavy rain,inm,
2089,"tənovən,",rubbish pile,inm,
2090,təron,smell of decay,inm,
2091,kənogəl,black flies,anm,
2092,logə,bridges,inm,
2093,vəduvədur,cars,inm,
2094,bokbok,"message that rain destroyed bridges, and speaker and friend made a thing to harm others",abs,
2095,təre,something bad that harms people,inm,
2096,to-Vəvəi,Vevei,hum,
2097,dərng,Vevei's wife,hum,
2098,lovakəti,anger of the flood / rain potion,inm,
2099,kəru~kərung,thunder,inm,
2100,molimoli,people on the bridges,hum,
2101,Keviang,Keviang,loc,
2102,Namatanai.,Namatanai.,loc,
2103,a-kəukəu,cocoa,inm,
2104,latu,garden,loc,
2105,ZERO,banana trees,inm,
2106,kədikən,anger between 2085,abs,
2107,mətmət,food for 2006,inm,
2108,von,the way the bamboo should be removed,abs,
2109,a-pəkət,knife,inm,
2110,nə-bət,the cutting of the bamboo with a knife,abs,
2111,maok,time when 2006 made the rain fall,tme,
2112,bokbok,spell,abs,
2113,maok,time when no rain was falling,tme,
2114,iavava,dust,inm,
2115,ZERO,food,inm,
2116,ləvək,banana,inm,
2117,ZERO,cassava,inm,
2118,ləmat,coconut,inm,
2119,ZERO,young men,hum,
3001,ZERO,mother of speaker,hum,
3002,ngang,speaker,hum,
3003,pən,big war,abs,
3004,du,the speaker and the other people living with him there at that time,hum,
3005,ləm,life of 3004,abs,
3006,mətmət,food,inm,
3007,laləng,four years war,tme,
3008,u-vi,airplanes in war,inm,
3009,maok,the sky,loc,
3010,bek,cave,loc,
3011,Vurvəgi,Vurvəgi river,loc,
3012,Gakora vekate,name of the place where they hid,abs,
3013,ZERO,speaker and mother,hum,
3014,bərtəm,night when mother dies,tme,
3015,umək,breast of mother,bdp,
3016,laik,uncle of speaker,hum,
3017,itən,name of uncle,abs,
3018,uil,son of uncle,hum,
3019,e-Nunu,wife of uncle,hum,
3020,mativon,all brothers of speaker,hum,
3021,to-Pipite,brother of speaker Pipite,hum,
3022,e-Lula,brother of speaker Lula,hum,
3023,Tavinor,brother of speaker Tavinor,hum,
3024,Tade,brother of speaker Tade,hum,
3025,to-Melekit,brother of speaker Melekit,hum,
3026,ronəng,stomachs of 3004,bdp,
3027,məngəda,home of 3004,loc,
3028,Toburut,guy they call after mother's death,hum,
3029,itən,name of 3028,abs,
3030,Tulil,Tulil language,abs,
3031,voin,ghosts,anm,
3032,məngəd,place that belongs to the ghosts; where mother stays after death,loc,
3033,urəng,Ureng ravup (waterfall); name of home of dead mother ghost,abs,
3034,e-Vuet,Vuet,hum,
3035,məngəd,village Ravup,loc,
3036,ZERO,whoever died,hum,
3037,idabi,spirits of the people who died,anm,
3038,iaor,fear of 3002,abs,
3039,a-bət,the thing that flies?,inm,
3040,tən,thinking of 3002,abs,
3041,uil,four children of uncle,hum,
3042,e-Tadar,"Tadar, first son of uncle",hum,
3043,to-Varuvi,"Varuvi, second child of uncle",hum,
3044,Martin,"Martin, third child of uncle",hum,
3045,e-Patin,"Patin, fourth child of uncle",hum,
3046,kəbərək,blood of aunt,bdp,
3047,do,place where 3002 puts dead 3019,loc,
3048,do,place where blood comes out from,loc,
3049,ibən,ground,loc,
3050,kəlum,plant uncle is picking,inm,
3051,Evek,Evek,loc,
3052,ZERO,Tadar and Varuvi,hum,
3053,kən,neck of uncle,bdp,
3054,idabi,spirit of uncle's wife,anm,
3055,laləng,the year 01985,tme,
3056,kəvov,nephew of 3002; Tagong,hum,
3057,itən,name of 3056,abs,
3058,Malobanga,Malobanga,loc,
3059,bəli,pigs,anm,
3060,tipur,bush,loc,
3061,Gəngənit,name of bush,abs,
3062,ta,3004 without speaker,hum,
3063,laləng,year when speaker goes to the bush for pigs,tme,
3064,a,pig that they get in the bush,anm,
3065,ləmat,coconuts,inm,
3066,a-pərəgum,wild taro,inm,
3067,ləvək,bananas,inm,
3068,kəvop,nephew of 3002; toKabang,hum,
3069,itən,name of 3068,abs,
3070,kəvop,dog that 3068 feeds,anm,
3071,ZERO,3002 and 3068,hum,
3072,kəlak,house in the bush 3071 make,loc,
3073,mərəm,bush flowers,inm,
3074,vəti,the day when they went hunting,tme,
3075,mənibərui,the next morning after 3074,tme,
3076,vətə,meat that 3071 look for,inm,
3077,məngəd,village Gaepka,loc,
3078,Mərubət,Bainings,abs,
3079,ləmat,two coconut trees,inm,
3080,ləmat,coconuts from the coconut tree 3071 want to find,inm,
3081,gət,a few of the coconuts 3071 want to find,inm,
3082,ta,the coconuts 3002 actually brings back,inm,
3083,bəli,huge pig 3071 find,anm,
3084,bəro,river,loc,
3085,iduti,intestines of pig,bdp,
3086,kəbərk,blood of pig,bdp,
3087,kəbit,rope,inm,
3088,bokbok,story about Ravup,abs,
3089,laik,ancestors,hum,
3090,umi,eyes of 3002,bdp,
3091,bitəmut,old belief,abs,
3092,vətak,places that have monsters,loc,
3093,Piupiu,Piupiu,anm,
3094,vəvat,monsters,anm,
3095,itən,name of 3092,abs,
3096,Tulil,Tulil people,hum,
3097,Bior,Tolai,loc,
3098,Nəpəpər.,Nəpəpər.,loc,
3099,kəvop,nephews of 3002,hum,
3100,Lait,"Lait, nephew",hum,
3101,to-Uvi,"to-Uvi, nephew",hum,
3102,to-Pitdiat,"to-Pitdiat, nephew",hum,
3103,Atven,Atven,hum,
3104,udu,eight people that go down,hum,
3105,a-purpur,flower,inm,
3106,a-pəlnə,church,loc,
3107,a-mesin,grass,inm,
3108,kətəbukbuk,thick mud,inm,
3109,mərkəm,leg of 3002,bdp,
3110,nok,hand of 3002,bdp,
3111,kən,voices of 3104,inm,
3112,ta-və,3104 without 3002,hum,
3113,Toviloga,Toviloga,loc,
3114,Ekaevoi,Ekaevoi,loc,
3115,bərivu,wind,inm,
3116,itnav,storm,inm,
3117,pələ~pələp,lightning,inm,
3118,kəru~kərung,thunder,inm,
3119,kəvənav,rain,inm,
3120,katə,legs of 3104,bdp,
3121,təgə,one footprint,inm,
3122,Laikpoi,Laikpoi,loc,
3123,Piupiu,Piupiu river (not monster),loc,
3124,ioi,two rivers,loc,
3125,itən,name of Piupiu river,abs,
3126,vənu,sun,inm,
3127,kəvənav,rains,inm,
3128,məl,clothes of 3104,inm,
3129,mətor,sitting in the bush of 3104,abs,
3130,adəpen,underwear,inm,
3131,kəvər,white people,hum,
3132,kənunət.,mosquitoes,anm,
3133,nəvon,the second time,tme,
3134,ta-və,some of 3104,hum,
3135,kəl,faces of 3134,bdp,
3136,u-vi,this (what happened the first time when they were looking for the place of the monsters),abs,
3137,Laika,god,anm,
3138,iap,people of 3134 who do not believe in God,hum,
3139,nang,tree,loc,
3140,vətə,meat,inm,
3141,lukluk,fish shadows,inm,
3142,a-marek,fish,anm,
3143,kətiləm,prawn,anm,
3144,kəgorə,eel,anm,
3145,kəbəram,big crawling plant,inm,
3146,iap,the one who is at the back,hum,
3147,ZERO,one who falls,hum,
3148,ioi,bad water,inm,
3149,iləm,flood,inm,
3150,muləgəp magə,third time,tme,
3151,pi,going,abs,
3152,gət,one of 3104 who could die,hum,
3153,idabi,good spirit,anm,
3154,idabi,bad spirit,anm,
3155,lokmət,wet food,inm,
3156,kabak,basket,inm,
3157,ləmat,coconut,inm,
3158,ZERO,they,hum,
3159,a-ka,iron,inm,
3160,təmək,ears of 3104,bdp,
3161,gət,one of 3104 who got lifted off,hum,
3162,vul,darkness,abs,
4001,e-vi,big conch shell,anm,
4002,voki,holes in the stones,loc,
4003,tivən,stones,inm,
4004,məlang,lizard,anm,
4005,nə-bət,place where shell is drying,loc,
4006,ngun,shell and lizard,anm,
4007,a-torotel,turtle,anm,
4008,viuv,sea,loc,
4009,ngun,turtle and shell,anm,
4010,nok,hand of the lizard,bdp,
4011,kiou,mouth of the shell,bdp,
4012,nok,hand of the turtle,bdp,
4013,ZERO,the turtle and the lizard,anm,
5001,kəvov,dog,anm,
5002,tudək,wallaby,anm,
5003,ip,the dog and the wallaby,anm,
5004,mərkəm,four legs that dog and wallaby walked with before,bdp,
5005,viuv,sea,loc,
